rank,user,user_href,elo,gxe,rating
1,apricotpeach,/users/apricotpeach,1900,89.7%,1908 ± 38
2,Actuarily,/users/actuarily,1895,88.8%,1890 ± 30
3,eragon11145,/users/eragon11145,1879,89.3%,1900 ± 33
4,Chimatsu,/users/chimatsu,1876,92.8%,1987 ± 54
5,sunlight serenade,/users/sunlightserenade,1857,89.9%,1913 ± 32
6,MirzaMirza,/users/mirzamirza,1853,88.8%,1891 ± 38
7,Miirza,/users/miirza,1847,89.5%,1906 ± 45
8,dltmeninas,/users/dltmeninas,1844,93.5%,2010 ± 59
9,Mirrza,/users/mirrza,1841,89.2%,1898 ± 35
10,allmymmb3,/users/allmymmb3,1823,78.2%,1741 ± 26
11,Schister,/users/schister,1819,85.4%,1834 ± 39
12,testhuphat,/users/testhuphat,1813,78.6%,1745 ± 29
13,Girls See Ghosts,/users/girlsseeghosts,1808,82.5%,1793 ± 40
14,howfalcons,/users/howfalcons,1807,83.3%,1804 ± 37
15,Agme,/users/agme,1805,85.4%,1833 ± 27
16,Chris Numbers,/users/chrisnumbers,1803,86.5%,1850 ± 36
17,ratpacker,/users/ratpacker,1800,88.7%,1890 ± 39
18,WOOSHMANIA,/users/wooshmania,1798,81.2%,1776 ± 38
19,Sushi Bum,/users/sushibum,1794,76.0%,1717 ± 26
20,theyummybagel,/users/theyummybagel,1794,89.7%,1910 ± 41
21,DLTICTOC,/users/dltictoc,1791,89.4%,1904 ± 44
22,dubsdubsdubs,/users/dubsdubsdubs,1783,87.1%,1861 ± 36
23,Sunday-love-vgc,/users/sundaylovevgc,1778,85.9%,1842 ± 42
24,drebabyshape,/users/drebabyshape,1777,76.3%,1721 ± 31
25,demakker,/users/demakker,1775,81.3%,1779 ± 44
26,Suckylucky,/users/suckylucky,1771,80.0%,1761 ± 32
27,ionnss,/users/ionnss,1769,89.7%,1911 ± 48
28,Mitoma,/users/mitoma,1762,89.2%,1901 ± 48
29,wlsdx,/users/wlsdx,1760,78.1%,1741 ± 39
30,LaPollaQueTeApoya,/users/lapollaqueteapoya,1759,83.5%,1807 ± 45
31,sleepyXiphos,/users/sleepyxiphos,1759,80.7%,1771 ± 35
32,val16,/users/val16,1758,85.6%,1837 ± 39
33,ValiantValiant,/users/valiantvaliant,1758,89.3%,1903 ± 50
34,Veijgorpon,/users/veijgorpon,1756,87.4%,1868 ± 53
35,Smelling Sands,/users/smellingsands,1755,84.6%,1822 ± 40
36,Genesis77,/users/genesis77,1753,83.5%,1806 ± 32
37,To MOYNI,/users/tomoyni,1751,78.3%,1742 ± 27
38,luisin,/users/luisin,1750,84.8%,1824 ± 28
39,HTH The Chef,/users/hththechef,1748,85.0%,1827 ± 26
40,kennyomeg,/users/kennyomeg,1743,79.6%,1757 ± 30
41,tired oficinist,/users/tiredoficinist,1739,91.8%,1962 ± 65
42,Tenzai,/users/tenzai,1737,83.0%,1800 ± 35
43,HorribleNick,/users/horriblenick,1735,82.4%,1793 ± 45
44,jerket,/users/jerket,1735,81.2%,1777 ± 35
45,Qianqiuxue,/users/qianqiuxue,1734,85.7%,1839 ± 42
46,wthappened,/users/wthappened,1732,85.5%,1835 ± 37
47,asNsnK,/users/asnsnk,1729,85.6%,1839 ± 49
48,Zerotti,/users/zerotti,1728,83.3%,1805 ± 45
49,Alolan HTH,/users/alolanhth,1726,89.3%,1901 ± 41
50,Deepzekrom,/users/deepzekrom,1726,78.9%,1749 ± 31
51,OlPatchy2Eyes,/users/olpatchy2eyes,1725,74.4%,1701 ± 29
52,John1240,/users/john1240,1724,80.0%,1763 ± 40
53,Jenthai,/users/jenthai,1724,81.4%,1779 ± 41
54,yeohgi,/users/yeohgi,1724,72.6%,1684 ± 39
55,Der_mxi,/users/dermxi,1723,78.7%,1747 ± 41
56,GoatBear,/users/goatbear,1722,88.0%,1876 ± 40
57,falctest5,/users/falctest5,1722,81.6%,1783 ± 45
